Date,Open,High,Low,Close,Adj Close,Volume
2014-01-22,86.349998,86.510002,85.269997,85.730003,85.730003,1081848
2014-01-23,85.500000,85.779999,84.110001,84.639999,84.639999,1679626
2014-01-24,84.489998,84.879997,81.580002,81.970001,81.970001,2827352
2014-01-27,82.129997,82.300003,80.440002,80.440002,80.440002,2596691
2014-01-28,81.059998,81.900002,80.599998,81.529999,81.529999,2214005
2014-01-29,82.779999,83.080002,78.870003,80.830002,80.830002,2668752
2014-01-30,80.660004,81.290001,79.489998,80.820000,80.820000,1722914
2014-01-31,80.989998,81.129997,78.669998,80.820000,80.820000,2293745
2014-02-03,81.070000,81.459999,79.889999,79.989998,79.989998,2267484
2014-02-04,79.949997,80.800003,79.040001,80.290001,80.290001,1882416
2014-02-05,80.370003,80.529999,79.519997,79.879997,79.879997,1726361
2014-02-06,81.480003,81.860001,80.550003,81.440002,81.440002,2804474
2014-02-07,81.900002,82.180000,80.949997,81.800003,81.800003,1567542
2014-02-10,82.349998,82.360001,81.629997,82.000000,82.000000,1562118
2014-02-11,83.500000,84.449997,82.959999,84.449997,84.449997,2127013
2014-02-12,84.769997,85.669998,84.519997,84.970001,84.970001,1564127
2014-02-13,84.870003,85.540001,83.860001,85.360001,85.360001,1323715
2014-02-14,85.480003,86.360001,85.250000,86.000000,86.000000,1495632
2014-02-17,85.959999,85.959999,84.690002,84.930000,84.930000,1193335
2014-02-18,85.000000,85.150002,83.489998,84.620003,84.620003,1702177
2014-02-19,84.660004,85.360001,83.919998,85.000000,85.000000,1202057
2014-02-20,83.809998,84.669998,83.239998,84.430000,84.430000,1671609
2014-02-21,84.919998,85.389999,84.150002,85.220001,85.220001,1236708
2014-02-24,84.570000,85.709999,83.839996,84.589996,84.589996,2029107
2014-02-25,84.769997,84.849998,83.580002,83.949997,83.949997,1569552
2014-02-26,84.160004,84.510002,83.739998,84.309998,84.309998,1466019
2014-02-27,84.410004,84.889999,82.690002,83.800003,83.800003,1626959
2014-02-28,83.910004,84.209999,83.190002,84.199997,84.199997,1542605
2014-03-03,82.220001,83.080002,81.540001,81.650002,81.650002,2223672
2014-03-04,82.500000,83.220001,81.739998,82.779999,82.779999,1937088
2014-03-05,82.680000,83.220001,82.250000,82.480003,82.480003,1496291
2014-03-06,83.019997,83.739998,82.650002,83.080002,83.080002,1470678
2014-03-07,83.309998,83.620003,81.709999,81.860001,81.860001,1807393
2014-03-10,81.510002,82.250000,79.830002,80.519997,80.519997,1579605
2014-03-11,80.809998,81.769997,80.690002,81.209999,81.209999,1194555
2014-03-12,80.750000,80.839996,79.169998,80.239998,80.239998,1525505
2014-03-13,80.559998,82.879997,79.660004,80.120003,80.120003,2966473
2014-03-14,79.040001,79.610001,77.580002,79.260002,79.260002,3007090
2014-03-17,79.139999,80.360001,78.339996,80.080002,80.080002,1557329
2014-03-18,80.309998,81.610001,79.510002,80.720001,80.720001,2035754
2014-03-19,80.989998,87.160004,80.300003,86.599998,86.599998,7355055
2014-03-20,86.050003,88.180000,85.800003,87.300003,87.300003,3438493
2014-03-21,87.290001,88.919998,86.989998,88.400002,88.400002,4090403
2014-03-24,89.500000,90.050003,88.010002,88.059998,88.059998,2127834
2014-03-25,89.000000,89.970001,87.360001,89.449997,89.449997,2225501
2014-03-26,89.849998,91.239998,89.519997,90.599998,90.599998,1849624
2014-03-27,90.800003,91.279999,90.029999,91.279999,91.279999,1504631
2014-03-28,91.349998,92.669998,91.300003,92.230003,92.230003,1592012
2014-03-31,92.599998,92.910004,90.919998,91.620003,91.620003,1587633
2014-04-01,92.449997,92.599998,91.690002,92.089996,92.089996,1633795
2014-04-02,92.919998,93.550003,92.269997,92.650002,92.650002,1574234
2014-04-03,92.860001,93.900002,92.389999,93.040001,93.040001,1419855
2014-04-04,93.040001,94.230003,92.529999,93.849998,93.849998,991988
2014-04-07,92.519997,92.800003,91.760002,91.830002,91.830002,1308552
2014-04-08,92.269997,92.500000,90.440002,91.419998,91.419998,1620318
2014-04-09,91.000000,91.949997,90.809998,91.290001,91.290001,1369298
2014-04-10,91.610001,92.099998,90.169998,90.510002,90.510002,1295717
2014-04-11,89.599998,90.629997,89.050003,90.209999,90.209999,1779345
2014-04-14,89.120003,90.519997,89.120003,90.139999,90.139999,1178870
2014-04-15,90.180000,90.570000,88.010002,88.190002,88.190002,1386384
2014-04-16,89.059998,90.410004,88.889999,90.410004,90.410004,1480554
2014-04-17,90.900002,92.150002,90.220001,92.120003,92.120003,1470764
2014-04-22,92.120003,94.019997,92.120003,94.019997,94.019997,1264123
2014-04-23,94.209999,94.389999,92.440002,92.680000,92.680000,1079207
2014-04-24,93.209999,93.349998,89.800003,91.459999,91.459999,1937576
2014-04-25,90.839996,91.050003,89.110001,89.559998,89.559998,1386902
2014-04-28,89.879997,90.269997,89.209999,89.839996,89.839996,903623
2014-04-29,90.430000,91.169998,89.430000,90.339996,90.339996,1196538
2014-04-30,90.099998,90.500000,89.290001,90.180000,90.180000,1164847
2014-05-02,90.180000,90.720001,88.739998,89.029999,89.029999,1167197
2014-05-05,89.239998,89.239998,87.029999,88.750000,88.750000,1402990
2014-05-06,89.559998,90.099998,87.809998,88.440002,88.440002,1754563
2014-05-07,88.000000,89.029999,87.510002,88.190002,88.190002,1650361
2014-05-08,88.430000,88.910004,87.290001,88.300003,88.300003,2225996
2014-05-09,88.080002,88.379997,87.690002,88.120003,88.120003,1190803
2014-05-12,88.660004,88.790001,87.839996,88.699997,88.699997,1627317
2014-05-13,89.680000,89.690002,88.980003,89.449997,89.449997,1701553
2014-05-14,89.790001,89.809998,88.889999,89.250000,89.250000,1295058
2014-05-15,89.699997,90.300003,87.849998,88.110001,88.110001,2526006
2014-05-16,85.570000,86.980003,85.550003,86.430000,86.430000,2413624
2014-05-19,86.459999,88.540001,86.129997,88.180000,88.180000,1613657
2014-05-20,88.349998,88.970001,87.750000,88.000000,88.000000,1068609
2014-05-21,87.820000,88.750000,87.470001,88.699997,88.699997,1178464
2014-05-22,88.900002,89.650002,88.650002,89.339996,89.339996,1134750
2014-05-23,89.550003,90.000000,89.209999,89.879997,89.879997,1029319
2014-05-26,90.500000,91.500000,90.339996,91.269997,91.269997,938777
2014-05-27,91.199997,91.800003,90.860001,91.769997,91.769997,1197488
2014-05-28,91.930000,92.000000,90.779999,91.360001,91.360001,1036264
2014-05-29,91.379997,92.129997,91.250000,92.129997,92.129997,728236
2014-05-30,92.000000,92.269997,91.680000,92.089996,92.089996,878996
2014-06-02,91.750000,92.489998,90.790001,91.480003,91.480003,1087656
2014-06-03,91.690002,92.019997,91.050003,92.019997,92.019997,1019484
2014-06-04,92.099998,92.129997,90.279999,91.269997,91.269997,1284077
2014-06-05,91.389999,92.839996,90.949997,92.760002,92.760002,1824330
2014-06-06,93.000000,93.269997,92.570000,92.879997,92.879997,1102585
2014-06-09,93.349998,93.349998,92.110001,92.580002,92.580002,647395
2014-06-10,92.580002,92.599998,91.550003,92.019997,92.019997,1179158
2014-06-11,92.250000,92.400002,91.300003,91.739998,91.739998,901745
2014-06-12,91.580002,91.970001,90.989998,91.360001,91.360001,993840
2014-06-13,91.400002,91.540001,90.019997,90.760002,90.760002,1287758
2014-06-16,90.339996,91.139999,90.260002,90.930000,90.930000,858916
2014-06-17,91.449997,91.949997,90.470001,90.750000,90.750000,1030298
2014-06-18,91.099998,92.129997,90.389999,91.410004,91.410004,1753546
2014-06-19,92.500000,92.860001,92.040001,92.669998,92.669998,1357245
2014-06-20,92.650002,93.480003,92.470001,92.559998,92.559998,2696673
2014-06-23,92.529999,92.550003,91.199997,91.500000,91.500000,824017
2014-06-24,92.989998,94.209999,92.849998,94.099998,94.099998,1688145
2014-06-25,93.449997,93.790001,92.379997,93.089996,93.089996,1280630
2014-06-26,93.500000,93.519997,91.320000,92.480003,92.480003,1067451
2014-06-27,92.809998,92.870003,91.919998,92.360001,92.360001,911405
2014-06-30,92.500000,93.320000,92.349998,92.620003,92.620003,1105942
2014-07-01,92.860001,93.330002,92.099998,93.300003,93.300003,1007073
2014-07-02,93.300003,94.730003,93.230003,93.879997,93.879997,1085690
2014-07-03,94.180000,95.320000,93.489998,95.320000,95.320000,1194046
2014-07-04,95.500000,95.889999,94.940002,95.150002,95.150002,851498
2014-07-07,94.849998,95.300003,93.910004,93.910004,93.910004,925948
2014-07-08,94.300003,94.410004,92.699997,92.699997,92.699997,1082984
2014-07-09,92.970001,93.269997,92.099998,92.720001,92.720001,915621
2014-07-10,92.699997,92.699997,90.500000,91.419998,91.419998,1468986
2014-07-11,91.870003,92.769997,91.500000,92.070000,92.070000,1066279
2014-07-14,92.650002,93.099998,91.580002,92.830002,92.830002,963382
2014-07-15,92.779999,93.900002,92.040001,92.480003,92.480003,1047813
2014-07-16,93.059998,95.290001,93.059998,95.250000,95.250000,1555541
2014-07-17,94.900002,96.099998,94.309998,94.470001,94.470001,1540519
2014-07-18,93.900002,94.320000,93.150002,93.610001,93.610001,2026779
2014-07-21,93.750000,93.849998,92.120003,92.480003,92.480003,1108062
2014-07-22,93.440002,94.449997,93.029999,93.970001,93.970001,1224949
2014-07-23,94.040001,95.050003,93.620003,94.459999,94.459999,1098408
2014-07-24,94.459999,95.639999,93.639999,95.510002,95.510002,1105074
2014-07-25,95.050003,95.779999,93.970001,94.300003,94.300003,1496918
2014-07-28,94.370003,94.370003,91.690002,92.209999,92.209999,1993699
2014-07-29,92.400002,92.809998,90.919998,91.529999,91.529999,1826134
2014-07-30,91.559998,92.529999,90.720001,90.970001,90.970001,1227811
2014-07-31,91.389999,91.389999,89.019997,89.339996,89.339996,1791953
2014-08-01,89.360001,89.459999,86.879997,87.629997,87.629997,2109090
2014-08-04,88.199997,89.339996,88.010002,88.410004,88.410004,1701246
2014-08-05,91.660004,91.739998,87.660004,88.500000,88.500000,2950053
2014-08-06,87.849998,88.639999,86.309998,88.040001,88.040001,2153944
2014-08-07,88.209999,88.919998,85.860001,86.199997,86.199997,2097155
2014-08-08,84.599998,87.199997,83.750000,86.389999,86.389999,2050884
2014-08-11,87.750000,89.160004,87.529999,88.830002,88.830002,1631420
2014-08-12,88.669998,88.980003,86.989998,87.199997,87.199997,1216641
2014-08-13,88.070000,88.290001,87.099998,87.830002,87.830002,1109169
2014-08-14,87.730003,88.889999,87.199997,88.279999,88.279999,1109207
2014-08-15,88.690002,89.250000,86.019997,86.239998,86.239998,1961060
2014-08-18,87.779999,88.309998,87.260002,88.029999,88.029999,928020
2014-08-19,88.500000,89.239998,88.300003,89.019997,89.019997,841671
2014-08-20,89.199997,89.250000,87.660004,88.610001,88.610001,977004
2014-08-21,89.080002,89.790001,88.290001,89.779999,89.779999,1173293
2014-08-22,89.930000,90.180000,88.550003,89.059998,89.059998,1091000
2014-08-25,90.500000,91.250000,90.300003,91.129997,91.129997,1024001
2014-08-26,91.260002,91.500000,90.120003,91.139999,91.139999,1242922
2014-08-27,91.070000,91.220001,89.779999,90.279999,90.279999,1045722
2014-08-28,89.790001,89.970001,88.559998,89.279999,89.279999,1374171
2014-08-29,89.540001,89.870003,87.709999,88.599998,88.599998,1415090
2014-09-01,88.750000,88.830002,87.510002,88.010002,88.010002,809751
2014-09-02,88.599998,89.160004,87.820000,87.989998,87.989998,1025745
2014-09-03,88.089996,90.540001,87.989998,90.010002,90.010002,1720014
2014-09-04,89.860001,91.800003,89.019997,91.540001,91.540001,1824426
2014-09-05,91.669998,92.589996,91.120003,92.050003,92.050003,1376233
2014-09-08,92.230003,92.750000,91.349998,91.910004,91.910004,875527
2014-09-09,91.709999,92.309998,90.639999,91.239998,91.239998,1034089
2014-09-10,90.449997,90.800003,89.889999,90.330002,90.330002,1132539
2014-09-11,90.949997,90.959999,89.019997,90.000000,90.000000,1175682
2014-09-12,90.180000,90.220001,88.860001,89.430000,89.430000,829482
2014-09-15,89.050003,90.290001,88.949997,89.489998,89.489998,915952
2014-09-16,89.480003,89.720001,88.510002,89.269997,89.269997,805525
2014-09-17,89.989998,90.470001,89.580002,89.800003,89.800003,1194774
2014-09-18,90.199997,90.550003,89.570000,90.379997,90.379997,1251638
2014-09-19,91.250000,91.550003,88.989998,88.989998,88.989998,3012845
2014-09-22,88.300003,88.320000,86.300003,86.769997,86.769997,2207729
2014-09-23,86.370003,86.389999,84.059998,84.900002,84.900002,3092514
2014-09-24,85.250000,86.820000,84.629997,86.790001,86.790001,2121985
2014-09-25,86.730003,87.440002,84.959999,85.250000,85.250000,1758490
2014-09-26,85.309998,86.199997,84.860001,85.639999,85.639999,1305575
2014-09-29,85.599998,85.959999,84.389999,85.209999,85.209999,1260715
2014-09-30,84.669998,85.300003,83.940002,85.019997,85.019997,1684287
2014-10-01,86.000000,86.559998,84.540001,84.830002,84.830002,2116762
2014-10-02,84.980003,86.349998,83.570000,83.620003,83.620003,2453539
2014-10-06,83.620003,85.540001,81.650002,81.980003,81.980003,2928672
2014-10-07,81.610001,83.169998,81.080002,82.330002,82.330002,2319786
2014-10-08,81.940002,82.339996,80.730003,81.239998,81.239998,1922162
2014-10-09,83.000000,83.750000,82.080002,82.500000,82.500000,2699442
2014-10-10,81.650002,82.010002,79.099998,79.529999,79.529999,2989386
2014-10-13,78.599998,80.339996,77.580002,79.440002,79.440002,1928803
2014-10-14,78.900002,80.860001,78.120003,79.470001,79.470001,2633930
2014-10-15,79.779999,79.809998,76.370003,77.410004,77.410004,2906796
2014-10-16,77.730003,78.500000,74.739998,77.849998,77.849998,3706338
2014-10-17,78.620003,80.750000,77.989998,80.570000,80.570000,3401061
2014-10-20,80.500000,80.690002,78.820000,79.610001,79.610001,1671279
2014-10-21,78.449997,81.760002,77.440002,81.349998,81.349998,3029731
2014-10-22,82.120003,82.930000,81.660004,82.589996,82.589996,2303419
2014-10-23,82.169998,84.169998,81.209999,83.150002,83.150002,1993179
2014-10-24,83.019997,83.540001,81.849998,82.290001,82.290001,1457338
2014-10-27,82.989998,83.160004,80.279999,81.290001,81.290001,1435998
2014-10-28,81.849998,82.639999,81.589996,82.419998,82.419998,1249074
2014-10-29,83.110001,83.500000,82.540001,82.669998,82.669998,1095569
2014-10-30,83.650002,84.470001,81.199997,83.029999,83.029999,1898649
2014-10-31,84.760002,85.669998,84.250000,85.320000,85.320000,2141755
2014-11-03,85.400002,85.980003,84.959999,85.269997,85.269997,1863460
2014-11-04,84.900002,85.029999,82.070000,82.889999,82.889999,2954729
2014-11-05,83.000000,84.760002,83.000000,83.849998,83.849998,1752348
2014-11-06,83.639999,85.580002,83.410004,84.379997,84.379997,1864472
2014-11-07,85.080002,85.220001,82.669998,83.330002,83.330002,1546059
2014-11-10,83.160004,84.250000,82.629997,83.910004,83.910004,1139438
2014-11-11,83.720001,84.580002,83.320000,84.309998,84.309998,1275866
2014-11-12,83.800003,84.070000,82.230003,82.709999,82.709999,1640682
2014-11-13,83.059998,83.760002,82.300003,82.720001,82.720001,1411305
2014-11-14,83.000000,83.510002,82.050003,83.059998,83.059998,1318386
2014-11-17,82.160004,83.699997,81.730003,83.459999,83.459999,1217653
2014-11-18,83.500000,84.610001,83.160004,84.430000,84.430000,1232494
2014-11-19,84.400002,85.330002,83.800003,84.750000,84.750000,1206646
2014-11-20,85.000000,85.070000,84.029999,84.900002,84.900002,1094314
2014-11-21,85.400002,88.419998,85.320000,88.160004,88.160004,3609291
2014-11-24,88.190002,90.110001,87.839996,89.400002,89.400002,1704896
2014-11-25,89.779999,90.599998,89.500000,90.349998,90.349998,1658042
2014-11-26,90.400002,90.970001,89.699997,90.480003,90.480003,1161454
2014-11-27,90.730003,91.589996,90.160004,91.489998,91.489998,1174101
2014-11-28,91.489998,91.949997,91.110001,91.949997,91.949997,1057782
2014-12-01,91.099998,92.230003,90.750000,92.230003,92.230003,1390981
2014-12-02,92.500000,92.989998,91.320000,91.809998,91.809998,1475945
2014-12-03,91.550003,91.989998,90.250000,91.250000,91.250000,1618541
2014-12-04,91.220001,92.650002,89.589996,89.870003,89.870003,2128986
2014-12-05,90.699997,92.489998,90.099998,92.349998,92.349998,1791046
2014-12-08,92.110001,92.370003,91.519997,91.599998,91.599998,777888
2014-12-09,90.059998,91.169998,88.900002,88.900002,88.900002,1861352
2014-12-10,89.699997,90.550003,89.290001,89.790001,89.790001,1308754
2014-12-11,89.809998,90.849998,89.410004,90.309998,90.309998,1414872
2014-12-12,89.699997,89.949997,87.849998,87.980003,87.980003,1313492
2014-12-15,87.760002,88.849998,85.010002,85.010002,85.010002,1724828
2014-12-16,85.360001,88.059998,83.260002,88.059998,88.059998,3185401
2014-12-17,86.760002,88.040001,86.559998,87.500000,87.500000,1489245
2014-12-18,89.000000,90.330002,88.500000,90.330002,90.330002,1784143
2014-12-19,91.000000,91.400002,88.639999,89.940002,89.940002,2719427
2014-12-22,90.470001,90.949997,89.599998,90.019997,90.019997,848060
2014-12-23,90.190002,90.830002,89.739998,90.830002,90.830002,786728
2014-12-29,90.830002,91.070000,89.059998,91.010002,91.010002,759811
2014-12-30,90.699997,90.790001,89.599998,89.769997,89.769997,599968
2015-01-02,89.769997,89.769997,87.379997,88.010002,88.010002,1532820
2015-01-05,87.180000,87.230003,84.550003,85.080002,85.080002,2308143
2015-01-06,85.800003,87.120003,84.550003,85.830002,85.830002,1841589
2015-01-07,86.400002,87.050003,85.269997,86.290001,86.290001,1239393
2015-01-08,87.519997,89.870003,86.879997,89.389999,89.389999,1837539
2015-01-09,89.000000,90.050003,87.480003,88.160004,88.160004,1976705
2015-01-12,88.000000,89.169998,87.129997,88.650002,88.650002,1932427
2015-01-13,88.650002,91.349998,88.589996,90.629997,90.629997,1693734
2015-01-14,89.000000,90.480003,88.570000,88.779999,88.779999,2081147
2015-01-15,89.680000,91.290001,86.879997,91.070000,91.070000,2373034
2015-01-16,90.699997,94.000000,90.320000,93.589996,93.589996,2767649
2015-01-19,94.050003,95.110001,93.349998,94.220001,94.220001,1510553
2015-01-20,94.449997,95.410004,94.330002,94.739998,94.739998,1851296
2015-01-21,94.489998,95.250000,93.660004,94.919998,94.919998,2118747
2015-01-22,95.330002,98.529999,95.080002,98.040001,98.040001,3261028
2015-01-23,99.269997,103.300003,99.160004,102.800003,102.800003,3804962
2015-01-26,102.400002,105.550003,102.250000,105.250000,105.250000,2068695
2015-01-27,103.050003,104.650002,101.250000,102.000000,102.000000,2657376
2015-01-28,103.000000,103.650002,101.349998,103.099998,103.099998,1465512
2015-01-29,102.199997,103.250000,101.199997,102.949997,102.949997,1402025
2015-01-30,103.900002,104.000000,102.449997,103.400002,103.400002,1644077
2015-02-02,103.650002,104.650002,102.750000,104.250000,104.250000,1109509
2015-02-03,105.050003,108.150002,104.500000,106.300003,106.300003,1987805
2015-02-04,105.800003,106.650002,104.650002,106.650002,106.650002,1334047
2015-02-05,105.849998,108.349998,105.599998,106.650002,106.650002,1389057
2015-02-06,106.750000,107.199997,105.800003,106.849998,106.849998,943311
2015-02-09,105.500000,105.750000,101.449997,102.500000,102.500000,1964708
2015-02-10,102.750000,105.599998,102.449997,104.699997,104.699997,1595601
2015-02-11,104.650002,105.000000,103.400002,104.449997,104.449997,859053
2015-02-12,104.750000,107.500000,104.750000,106.699997,106.699997,1288502
2015-02-13,107.750000,107.949997,106.900002,107.800003,107.800003,1154337
2015-02-16,107.150002,107.449997,106.099998,106.599998,106.599998,726571
2015-02-17,106.150002,106.949997,104.400002,106.750000,106.750000,989415
2015-02-18,107.500000,108.750000,107.250000,108.750000,108.750000,952729
2015-02-19,108.349998,109.650002,107.849998,109.449997,109.449997,1029587
2015-02-20,109.449997,111.199997,109.000000,111.099998,111.099998,2282118
2015-02-23,112.449997,112.949997,110.900002,111.650002,111.650002,1213324
2015-02-24,111.400002,111.699997,109.599998,110.650002,110.650002,1396309
2015-02-25,110.800003,111.000000,109.099998,109.650002,109.650002,1316753
2015-02-26,109.699997,112.050003,109.650002,112.000000,112.000000,1319509
2015-02-27,111.900002,113.000000,110.449997,113.000000,113.000000,1761239
2015-03-02,113.500000,114.849998,112.699997,114.199997,114.199997,1501878
2015-03-03,114.199997,114.750000,110.949997,111.000000,111.000000,1388578
2015-03-04,111.900002,113.199997,110.599998,113.000000,113.000000,1947448
2015-03-05,114.050003,114.699997,113.150002,114.500000,114.500000,1341334
2015-03-06,114.949997,116.300003,114.349998,115.300003,115.300003,1314922
2015-03-09,115.000000,115.199997,114.000000,114.349998,114.349998,1375639
2015-03-10,114.349998,114.949997,112.250000,113.699997,113.699997,1559777
2015-03-11,113.800003,119.650002,113.800003,119.349998,119.349998,2282116
2015-03-12,119.199997,119.250000,116.349998,118.550003,118.550003,2214793
2015-03-13,119.699997,120.099998,117.199997,119.949997,119.949997,1479424
2015-03-16,120.500000,123.400002,120.349998,122.599998,122.599998,2002769
2015-03-17,123.300003,123.750000,120.099998,121.000000,121.000000,2158329
2015-03-18,121.250000,121.699997,113.699997,115.900002,115.900002,4162275
2015-03-19,115.349998,117.050003,114.199997,116.599998,116.599998,2544757
2015-03-20,116.900002,118.349998,116.099998,116.750000,116.750000,2984667
2015-03-23,116.699997,116.699997,113.400002,113.750000,113.750000,1697260
2015-03-24,112.800003,115.599998,111.800003,115.099998,115.099998,1938037
2015-03-25,115.900002,116.949997,113.849998,114.150002,114.150002,1580463
2015-03-26,112.849998,116.449997,110.550003,116.449997,116.449997,2379172
2015-03-27,117.099998,118.849998,114.900002,116.099998,116.099998,1870303
2015-03-30,117.099998,118.550003,116.699997,118.000000,118.000000,1198811
